CA,Diesel,WCOB20,TB (CE),TBA1 (CE),TBA2 (CE),TBA3 (CE),,,,,,,,,,
0.945116316,0.918788535,0.898464283,0.928785803,0.946300977,0.954732916,0.969700617,,,,,,,,,,
0.946595419,0.909686045,0.88887918,0.920030966,0.938129541,0.94694939,0.962669009,,,,,,,,,,
0.948074273,0.900404191,0.879100944,0.911067732,0.929719698,0.938876684,0.955289223,,,,,,,,,,
0.949553376,0.891002218,0.869244979,0.901927879,0.921079659,0.93056845,0.947601319,,,,,,,,,,
0.951032479,0.881410802,0.859299349,0.892669743,0.912233956,0.922032802,0.939627787,,,,,,,,,,
0.952511583,0.871743141,0.849329538,0.883225064,0.903213948,0.913293975,0.931421621,,,,,,,,,,
0.953990686,0.861987529,0.839347585,0.873705306,0.89407721,0.904382949,0.922990835,,,,,,,,,,
0.95546954,0.852208198,0.829388152,0.864098942,0.884756374,0.895356603,0.914359365,,,,,,,,,,
0.956948643,0.842416957,0.819425191,0.854469222,0.875361444,0.886148384,0.905557813,,,,,,,,,,
0.958427746,0.832647806,0.809527921,0.844827775,0.865881044,0.876866965,0.896642358,,,,,,,,,,
0.95990685,0.822875193,0.799694372,0.835208079,0.856377594,0.867501109,0.887547263,,,,,,,,,,
0.961385953,0.813167018,0.789940213,0.825584975,0.84686257,0.858112482,0.878379868,,,,,,,,,,
0.962865056,0.803521345,0.7810387,0.816025322,0.837369012,0.848712421,0.869129073,,,,,,,,,,
0.96434391,0.793953546,0.773107206,0.806527215,0.827872091,0.839333567,0.859855787,,,,,,,,,,
0.965823013,0.785222102,0.76358655,0.797105791,0.818437789,0.82995139,0.850571207,,,,,,,,,,
0.967302117,0.777442145,0.750288349,0.788507928,0.809064227,0.820631075,0.841307573,,,,,,,,,,
0.96878122,0.768103387,0.742998104,0.780846994,0.799766341,0.811370766,0.832040658,,,,,,,,,,
0.970260323,0.755059257,0.734006407,0.771651107,0.791281217,0.80218522,0.822834845,,,,,,,,,,
0.971739177,0.747908297,0.725189059,0.758806535,0.783720737,0.793802615,0.8136883,,,,,,,,,,
0.97321828,0.739088393,0.716540766,0.751764976,0.774645431,0.786333483,0.8046156,,,,,,,,,,
0.973958455,0.730439506,0.705670675,0.743080005,0.766230444,0.777367826,0.796335977,,,,,,,,,,
0.975260495,0.721956444,0.696465921,0.734563434,0.758327489,0.769054511,0.788958604,,,,,,,,,,
0.976562535,0.711294034,0.688881671,0.726210153,0.746448967,0.761247041,0.780103092,,,,,,,,,,
0.977864575,0.702265143,0.683179136,0.715710863,0.738044071,0.749512039,0.771891908,,,,,,,,,,
0.979166615,0.694825795,0.67454423,0.706820103,0.729800322,0.741208692,0.764180354,,,,,,,,,,
0.980468904,0.68923221,0.668022777,0.699494567,0.719438704,0.733064546,0.752589518,,,,,,,,,,
0.981770944,0.68076228,0.660769,0.693986557,0.710664523,0.72282812,0.744388179,,,,,,,,,,
0.983072984,0.674365425,0.653576577,0.685646207,0.703435044,0.714159951,0.736344085,,,,,,,,,,
0.984375023,0.667250236,0.643388831,0.679347214,0.697999258,0.70701782,0.726233415,,,,,,,,,,
0.985677063,0.660195228,0.637726147,0.672340879,0.68976827,0.701647711,0.717671736,,,,,,,,,,
0.986979103,0.650202126,0.627735892,0.665393804,0.683551873,0.693516171,0.710617347,,,,,,,,,,
0.988281392,0.644647631,0.622636726,0.655553583,0.676637408,0.687374882,0.70531321,,,,,,,,,,
0.989583432,0.634848247,0.615210738,0.650084065,0.669781427,0.680543959,0.697281568,,,,,,,,,,
0.990885472,0.629846504,0.607591203,0.640434598,0.661781546,0.673770814,0.691215726,,,,,,,,,,
0.992187512,0.622562395,0.601256241,0.635509376,0.654672437,0.665867589,0.684468722,,,,,,,,,,
0.993489552,0.615088436,0.592621335,0.628336704,0.645149499,0.658844374,0.677778786,,,,,,,,,,
0.994791841,0.608874508,0.586099883,0.620977088,0.640288859,0.649436495,0.669972654,,,,,,,,,,
0.996093881,0.600404578,0.578846106,0.614858224,0.633210239,0.644634582,0.66303572,,,,,,,,,,
0.99739592,0.594007722,0.571653682,0.606517873,0.625947125,0.637641487,0.653743418,,,,,,,,,,
0.99869796,0.586892533,0.570772394,0.600218881,0.619908495,0.630466128,0.649000497,,,,,,,,,,
1,0.579837526,0.56751997,0.593212545,0.611677507,0.624500458,0.642093314,,,,,,,,,,
1,1,1,1,1.000000099,0.999999707,0.999999903,,,,400.9862,98.23576,96.3589,99.76199,101.08751,102.32377,103.59649
